Title,Series,Synopsis,URL,Genre,Category,Availability,Duration,Date,Column,Row,Box_Set,Channel,Box_Yes,Box_No,Title_Synopsis,Pid,episodeID,programmeID,seriesID,Is_Live,Is_Live_Yes,Is_Live_No,Actual_Genre
Match of the Day,,30/10/2021: With Spurs v Man Utd,https://www.bbc.co.uk/iplayer/episode/m00116q2/match-of-the-day-202122-30102021,Sport,Most Popular,Available for 6 days,85 mins,31/10/2021,3,3,no,BBC One,0,1,Match of the Day -- 30/10/2021: With Spurs v Man Utd,m00116q2,m00116q2,b007t9y1,,no,0,1,SPORT > FOOTBALL
Casualty,,Two Tribes. The consultants fight over clinical lead,https://www.bbc.co.uk/iplayer/episode/m0010rx8/casualty-series-36-9-two-tribes,Drama,Most Popular,Available for 11 months,39 mins,31/10/2021,4,3,no,BBC One,0,1,Casualty -- Two Tribes. The consultants fight over clinical lead,m0010rx8,m0010rx8,b006m8wd,,no,0,1,"DRAMA > SOAPS,DRAMA > MEDICAL"
RuPaul's Drag Race UK,,New episodes every Thursday,https://www.bbc.co.uk/iplayer/episodes/p07kt8b4/rupauls-drag-race-uk?seriesId=p09vc1rh,Entertainment,Most Popular,,,31/10/2021,5,3,yes,BBC Three,1,0,RuPaul's Drag Race UK -- New episodes every Thursday,p07kt8b4,,p07kt8b4,p09vc1rh,no,0,1,"ENTERTAINMENT,TALENT SHOWS"
EastEnders,,29/10/2021: Eve makes her arrival in the Square known,https://www.bbc.co.uk/iplayer/episode/m001113y/eastenders-29102021,Drama,Most Popular,Available for 11 months,25 mins,31/10/2021,6,3,no,BBC One,0,1,EastEnders -- 29/10/2021: Eve makes her arrival in the Square known,m001113y,m001113y,b006m86d,,no,0,1,DRAMA > SOAPS
Shetland,,Detective Jimmy Perez returns home,https://www.bbc.co.uk/iplayer/episodes/p01s711r/shetland?seriesId=m0010sc2,Crime Drama,Most Popular,,,31/10/2021,7,3,yes,BBC One,1,0,Shetland -- Detective Jimmy Perez returns home,p01s711r,,p01s711r,m0010sc2,no,0,1,DRAMA > CRIME
Impeachment: American Crime Story,American Crime Story,The scandal is not the story,https://www.bbc.co.uk/iplayer/episodes/m0010x44/impeachment-american-crime-story?seriesId=m0010t8q,Crime Drama,Most Popular,,,31/10/2021,8,3,yes,BBC Two,1,0,Impeachment: American Crime Story -- The scandal is not the story,m0010x44,,m0010x44,m0010t8q,no,0,1,"DRAMA,DRAMA > CRIME"
Bump,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tw2x1/bump?seriesId=p09tw2yj,Comedy Drama,Most Popular,,,31/10/2021,9,3,yes,BBC One,1,0,Bump -- All episodes available now,p09tw2x1,,p09tw2x1,p09tw2yj,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
The Graham Norton Show,,With Dame Judi Dench,https://www.bbc.co.uk/iplayer/episode/m001114b/the-graham-norton-show-series-29-episode-6,Entertainment,Most Popular,Available for over a year,50 mins,31/10/2021,10,3,no,BBC One,0,1,The Graham Norton Show -- With Dame Judi Dench,m001114b,m001114b,b006xnzc,,no,0,1,ENTERTAINMENT
Universe,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09ybnpd/universe,Science,Most Popular,,,31/10/2021,11,3,yes,BBC Two,1,0,Universe -- All episodes available now,p09ybnpd,,p09ybnpd,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > SCIENCE & TECHNOLOGY"
Mrs Brown's Boys,,Mammy's back!,https://www.bbc.co.uk/iplayer/episodes/b00x98tn/mrs-browns-boys?seriesId=b00x17n9,Comedy,Most Popular,,,31/10/2021,12,3,yes,BBC One,1,0,Mrs Brown's Boys -- Mammy's back!,b00x98tn,,b00x98tn,b00x17n9,no,0,1,COMEDY > SITCOMS
